Buy Time,Buy Price,Take Profit,Stop Loss,Close,Close Time,%
2024-08-09 03:51:00,60944.0,62162.88,60334.56,60837.48,2024-08-09 03:55:00,-0.17%
2024-08-09 03:59:00,60933.68,62152.3536,60324.3432,60835.73,2024-08-09 04:05:00,-0.16%
2024-08-09 04:08:00,60794.86,62010.7572,60186.9114,60725.27,2024-08-09 04:10:00,-0.11%
2024-08-09 04:13:00,60709.45,61923.638999999996,60102.3555,60871.4,2024-08-09 04:20:00,0.27%
2024-08-09 04:41:00,61042.22,62263.0644,60431.7978,61121.17,2024-08-09 04:49:00,0.13%
2024-08-09 04:53:00,61112.42,62334.668399999995,60501.2958,61106.07,2024-08-09 04:56:00,-0.01%
2024-08-09 04:59:00,61184.34,62408.0268,60572.4966,61157.5,2024-08-09 05:00:00,-0.04%
2024-08-09 05:01:00,61192.7,62416.554,60580.772999999994,61259.57,2024-08-09 05:09:00,0.11%
2024-08-09 05:15:00,61087.37,62309.1174,60476.496300000006,61056.01,2024-08-09 05:29:00,-0.05%
2024-08-09 05:38:00,60879.35,62096.937,60270.5565,60953.8,2024-08-09 05:48:00,0.12%
2024-08-09 05:59:00,60866.96,62084.2992,60258.2904,60768.16,2024-08-09 06:08:00,-0.16%
2024-08-09 06:10:00,60848.73,62065.704600000005,60240.2427,60346.63,2024-08-09 06:21:00,-0.83%
2024-08-09 06:49:00,60567.56,61778.911199999995,59961.884399999995,60761.74,2024-08-09 07:09:00,0.32%
2024-08-09 07:16:00,60701.47,61915.4994,60094.4553,60854.15,2024-08-09 07:24:00,0.25%
2024-08-09 07:29:00,60572.28,61783.7256,59966.557199999996,60711.62,2024-08-09 07:43:00,0.23%
2024-08-09 07:50:00,60736.41,61951.1382,60129.045900000005,60752.23,2024-08-09 07:52:00,0.03%
2024-08-09 07:57:00,60801.07,62017.0914,60193.0593,60775.16,2024-08-09 07:59:00,-0.04%
2024-08-09 08:06:00,60718.83,61933.206600000005,60111.6417,60645.99,2024-08-09 08:10:00,-0.12%
2024-08-09 08:15:00,60777.91,61993.4682,60170.130900000004,60831.78,2024-08-09 08:19:00,0.09%
2024-08-09 08:28:00,60487.88,61697.637599999995,59883.0012,60555.09,2024-08-09 08:42:00,0.11%
2024-08-09 08:52:00,60601.12,61813.142400000004,59995.1088,60633.2,2024-08-09 08:59:00,0.05%
2024-08-09 09:04:00,60700.95,61914.969,60093.9405,60806.71,2024-08-09 09:09:00,0.17%
2024-08-09 09:17:00,60382.8,61590.456000000006,59778.972,60344.95,2024-08-09 09:31:00,-0.06%
2024-08-09 09:38:00,59933.52,61132.1904,59334.184799999995,60040.25,2024-08-09 09:44:00,0.18%
2024-08-09 09:45:00,60103.84,61305.9168,59502.8016,60390.35,2024-08-09 09:52:00,0.48%
2024-08-09 10:11:00,60779.15,61994.733,60171.3585,60864.52,2024-08-09 10:15:00,0.14%
2024-08-09 10:20:00,60743.92,61958.7984,60136.4808,60556.94,2024-08-09 10:28:00,-0.31%
2024-08-09 10:40:00,59888.88,61086.6576,59289.9912,60499.25,2024-08-09 11:06:00,1.02%
2024-08-09 11:11:00,60338.81,61545.5862,59735.4219,60375.99,2024-08-09 11:19:00,0.06%
2024-08-09 11:23:00,60388.98,61596.759600000005,59785.090200000006,60400.29,2024-08-09 11:26:00,0.02%
2024-08-09 11:27:00,60427.12,61635.6624,59822.8488,60362.65,2024-08-09 11:28:00,-0.11%
2024-08-09 11:31:00,60390.84,61598.6568,59786.931599999996,60259.16,2024-08-09 11:35:00,-0.22%
2024-08-09 11:39:00,60064.78,61266.0756,59464.1322,60017.38,2024-08-09 11:49:00,-0.08%
2024-08-09 11:53:00,60010.47,61210.6794,59410.3653,59940.95,2024-08-09 11:56:00,-0.12%
2024-08-09 12:01:00,59969.11,61168.4922,59369.418900000004,59965.68,2024-08-09 12:08:00,-0.01%
2024-08-09 12:11:00,59973.12,61172.5824,59373.3888,59893.17,2024-08-09 12:12:00,-0.13%
2024-08-09 12:13:00,59960.18,61159.3836,59360.5782,59960.57,2024-08-09 12:16:00,0.00%
2024-08-09 12:26:00,60034.99,61235.6898,59434.6401,60182.13,2024-08-09 12:33:00,0.25%
2024-08-09 12:36:00,60187.54,61391.2908,59585.664600000004,60200.96,2024-08-09 12:41:00,0.02%
2024-08-09 12:49:00,60302.31,61508.356199999995,59699.2869,60439.21,2024-08-09 12:53:00,0.23%
2024-08-09 12:56:00,60477.93,61687.4886,59873.1507,60444.92,2024-08-09 12:57:00,-0.05%
2024-08-09 12:59:00,60511.57,61721.8014,59906.4543,60471.44,2024-08-09 13:00:00,-0.07%
2024-08-09 13:08:00,60487.26,61697.0052,59882.3874,60457.19,2024-08-09 13:11:00,-0.05%
2024-08-09 13:12:00,60537.47,61748.2194,59932.0953,60709.18,2024-08-09 13:16:00,0.28%
2024-08-09 13:22:00,60520.76,61731.175200000005,59915.5524,60624.18,2024-08-09 13:34:00,0.17%
2024-08-09 13:48:00,60500.11,61710.1122,59895.1089,60287.36,2024-08-09 14:10:00,-0.35%
2024-08-09 14:14:00,60167.54,61370.8908,59565.8646,60037.38,2024-08-09 14:18:00,-0.22%
2024-08-09 14:21:00,60008.4,61208.568,59408.316,60176.97,2024-08-09 14:34:00,0.28%
2024-08-09 14:45:00,60333.86,61540.5372,59730.5214,,,
